"Title","EntityTypeName","ItemCount","ListUrl","BaseType"
"appdata","OData__x005f_catalogs_x002f_appdata","0",,"0"
"Cache Profiles","Cache_x0020_Profiles","4",,"0"
"Composed Looks","OData__x005f_catalogs_x002f_design","18",,"0"
"Content and Structure Reports","Reports_x0020_List","7",,"0"
"Dashboard","Dashboard","18",,"1"
"Datacenter and Cloude Infrastructure Ongoing Tasks","Si_x005f_tasklistList","13",,"0"
"Device Channels","DeviceChannels","1",,"0"
"Documents","Shared_x0020_Documents","33",,"1"
"ERP System/Software Development Ongoing Tasks","Erp_x005f_tasklistList","20",,"0"
"Form Templates","FormServerTemplates","0",,"1"
"fpdatasources","OData__x005f_catalogs_x002f_fpdatasources","0",,"1"
"Images","PublishingImages","0",,"1"
"ITG ERP System/Software Development  Ongoing Tasks","ITG_x0020_ERP_x0020_SystemSoftware_x0020_Development_x0020_ProjectsList","20",,"0"
"ITG Operations Ongoing Tasks","Ops_x005f_tasklistList","17",,"0"
"List Template Gallery","OData__x005f_catalogs_x002f_lt","3",,"1"
"Master Page Gallery","OData__x005f_catalogs_x002f_masterpage","261",,"1"
"MicroFeed","PublishedFeedList","2",,"0"
"moderan_dashboard","Moderan_x005f_dashboard","8",,"1"
"Networks and Security Ongoing Tasks","Networks_x005f_tasklistList","9",,"0"
"Notification List","Notification_x0020_Pages","0",,"0"
"Pages","Pages","1",,"1"
"Project Policy Item List","ProjectPolicyItemList","0",,"0"
"Quick Deploy Items","Quick_x0020_Deploy_x0020_Items","0",,"0"
"Relationships List","Relationships_x0020_List","1",,"0"
"Reusable Content","ReusableContent","3",,"0"
"Site Assets","SiteAssets","24",,"1"
"Site Collection Documents","SiteCollectionDocuments","0",,"1"
"Site Collection Images","SiteCollectionImages","0",,"1"
"Site Pages","SitePages","4",,"1"
"SLA","SLAList","2",,"0"
"Solution Gallery","OData__x005f_catalogs_x002f_solutions","1",,"1"
"Style Library","Style_x0020_Library","30",,"1"
"Suggested Content Browser Locations","PublishedLinks","0",,"0"
"Systems Infrastructure  Ongoing Tasks","Systems_x0020_Infrastructure_x0020_Ongoing_x0020_TasksList","13",,"0"
"TaxonomyHiddenList","TaxonomyHiddenListList","0",,"0"
"Theme Gallery","OData__x005f_catalogs_x002f_theme","2399",,"1"
"Translation Packages","Translation_x0020_Packages","0",,"1"
"Translation Status","Translation_x0020_Status","0",,"0"
"Variation Labels","Variation_x0020_Labels","0",,"0"
"Web Part Gallery","OData__x005f_catalogs_x002f_wp","76",,"1"
"wfpub","OData__x005f_catalogs_x002f_wfpub","0",,"1"
"Workflow Tasks","WorkflowTasks","0",,"0"
